heart_rate,spo2,temperature,blood_pressure,tip
106.8,89.1,37.7,113/75,🚨 Emergency! Call for help.
114.8,90.2,35.7,147/92,Low SpO2. Do deep breathing or go outside.
75.6,98.4,37.4,124/71,All good. Stay healthy!
77.7,99.7,37.8,117/84,Slight fever. Drink water and avoid stress.
94.0,96.3,38.4,116/72,Slight fever. Drink water and avoid stress.
93.3,95.6,38.7,110/71,Slight fever. Drink water and avoid stress.
105.3,99.9,36.9,128/81,Elevated heart rate. Take a walk or rest.
70.9,96.4,38.6,117/73,Slight fever. Drink water and avoid stress.
129.7,89.4,36.6,146/99,🚨 Emergency! Call for help.
122.2,93.6,38.3,158/86,You are overheating. Rest and hydrate.
122.7,93.3,38.1,136/96,You are overheating. Rest and hydrate.
126.8,85.8,37.1,142/93,🚨 Emergency! Call for help.
75.7,89.7,38.6,119/85,🚨 Emergency! Call for help.
122.6,91.3,36.0,157/99,Low SpO2. Do deep breathing or go outside.
101.4,94.9,37.5,122/81,Elevated heart rate. Take a walk or rest.
121.1,99.3,36.5,147/98,Elevated heart rate. Take a walk or rest.
102.4,90.5,36.4,124/74,Low SpO2. Do deep breathing or go outside.
117.0,93.8,36.8,153/86,Low SpO2. Do deep breathing or go outside.
72.8,92.2,38.2,115/76,Low SpO2. Do deep breathing or go outside.
111.4,94.9,37.4,157/94,Elevated heart rate. Take a walk or rest.
97.9,85.5,35.8,123/76,🚨 Emergency! Call for help.
123.2,93.7,38.6,156/100,You are overheating. Rest and hydrate.
84.5,87.5,37.9,124/85,🚨 Emergency! Call for help.
114.2,96.0,35.5,160/87,🚨 Emergency! Call for help.
66.5,90.9,37.8,116/74,Low SpO2. Do deep breathing or go outside.
118.6,89.2,38.7,152/95,🚨 Emergency! Call for help.
100.1,86.1,36.1,123/73,🚨 Emergency! Call for help.
109.5,89.0,36.7,121/84,🚨 Emergency! Call for help.
59.4,91.3,38.5,99/62,Low SpO2. Do deep breathing or go outside.
124.3,86.3,36.5,135/93,🚨 Emergency! Call for help.
57.2,90.3,36.8,97/67,Low SpO2. Do deep breathing or go outside.
107.1,85.7,38.7,122/74,🚨 Emergency! Call for help.
79.2,93.9,35.9,111/77,Low SpO2. Do deep breathing or go outside.
93.9,91.9,35.6,111/74,Low SpO2. Do deep breathing or go outside.
76.1,95.3,35.9,122/74,All good. Stay healthy!
92.3,92.3,36.0,118/76,Low SpO2. Do deep breathing or go outside.
82.1,86.4,37.5,113/77,🚨 Emergency! Call for help.
128.9,86.7,38.6,144/96,🚨 Emergency! Call for help.
89.2,86.7,35.9,120/71,🚨 Emergency! Call for help.
59.8,90.9,36.7,107/70,Low SpO2. Do deep breathing or go outside.
55.1,92.8,37.6,102/65,Low SpO2. Do deep breathing or go outside.
68.5,95.2,37.4,129/74,All good. Stay healthy!
73.1,95.4,37.5,122/74,Slight fever. Drink water and avoid stress.
125.6,94.8,36.1,152/87,Elevated heart rate. Take a walk or rest.
105.5,97.5,38.7,119/83,You are overheating. Rest and hydrate.
96.8,85.8,37.8,123/82,🚨 Emergency! Call for help.
109.8,88.6,38.3,114/72,🚨 Emergency! Call for help.
90.8,89.4,36.4,114/85,🚨 Emergency! Call for help.
82.1,95.7,35.9,114/79,All good. Stay healthy!
98.2,88.1,39.0,125/72,🚨 Emergency! Call for help.
65.8,98.4,36.5,126/72,All good. Stay healthy!
107.3,93.3,38.4,114/82,You are overheating. Rest and hydrate.
115.0,96.3,35.7,150/90,Elevated heart rate. Take a walk or rest.
61.4,94.1,36.1,124/84,All good. Stay healthy!
98.5,91.1,38.8,111/70,Low SpO2. Do deep breathing or go outside.
120.5,91.5,36.4,135/85,Low SpO2. Do deep breathing or go outside.
105.8,93.8,37.2,125/77,Low SpO2. Do deep breathing or go outside.
71.0,99.0,37.0,124/77,All good. Stay healthy!
116.0,91.1,36.9,150/96,Low SpO2. Do deep breathing or go outside.
100.2,91.6,36.4,117/74,Low SpO2. Do deep breathing or go outside.
129.7,96.8,37.6,151/91,Elevated heart rate. Take a walk or rest.
82.3,86.9,35.7,116/73,🚨 Emergency! Call for help.
119.4,98.8,37.7,149/87,Elevated heart rate. Take a walk or rest.
84.4,94.1,36.6,111/71,All good. Stay healthy!
70.5,99.7,36.6,124/74,All good. Stay healthy!
78.2,97.2,37.5,123/77,Slight fever. Drink water and avoid stress.
88.9,96.4,38.5,114/75,Slight fever. Drink water and avoid stress.
117.7,91.1,37.4,137/93,Low SpO2. Do deep breathing or go outside.
76.3,88.0,38.7,110/81,🚨 Emergency! Call for help.
66.0,87.6,37.2,123/78,🚨 Emergency! Call for help.
86.9,90.4,38.5,110/83,Low SpO2. Do deep breathing or go outside.
111.8,90.6,37.4,137/88,Low SpO2. Do deep breathing or go outside.
97.0,92.8,38.4,115/73,Low SpO2. Do deep breathing or go outside.
126.9,87.6,36.6,159/99,🚨 Emergency! Call for help.
128.3,94.2,38.8,149/97,You are overheating. Rest and hydrate.
90.8,91.0,36.6,120/79,Low SpO2. Do deep breathing or go outside.
81.0,96.4,38.8,129/74,Slight fever. Drink water and avoid stress.
129.1,93.1,36.6,157/88,Low SpO2. Do deep breathing or go outside.
58.3,85.2,38.2,110/70,🚨 Emergency! Call for help.
96.3,99.9,36.1,111/78,All good. Stay healthy!
94.6,88.8,37.2,130/77,🚨 Emergency! Call for help.
94.0,94.9,36.1,123/82,All good. Stay healthy!
83.1,91.0,38.1,114/77,Low SpO2. Do deep breathing or go outside.
112.8,86.5,38.9,151/87,🚨 Emergency! Call for help.
74.9,87.8,36.6,117/76,🚨 Emergency! Call for help.
90.3,87.2,36.4,120/78,🚨 Emergency! Call for help.
110.7,89.1,37.2,154/89,🚨 Emergency! Call for help.
103.0,92.5,35.8,129/73,Low SpO2. Do deep breathing or go outside.
98.3,98.7,35.7,112/71,All good. Stay healthy!
88.8,94.9,39.0,111/74,Slight fever. Drink water and avoid stress.
66.3,85.1,36.9,130/75,🚨 Emergency! Call for help.
89.8,92.9,37.7,124/78,Low SpO2. Do deep breathing or go outside.
82.5,92.0,38.4,117/85,Low SpO2. Do deep breathing or go outside.
69.3,96.3,35.6,115/73,All good. Stay healthy!
75.5,96.0,35.5,124/84,All good. Stay healthy!
79.2,90.2,37.3,116/83,Low SpO2. Do deep breathing or go outside.
121.6,86.0,36.0,141/96,🚨 Emergency! Call for help.
59.1,87.8,38.7,96/64,🚨 Emergency! Call for help.
62.3,97.0,36.6,119/85,All good. Stay healthy!
74.6,97.3,37.6,126/72,Slight fever. Drink water and avoid stress.
82.9,88.4,39.0,116/72,🚨 Emergency! Call for help.
126.6,95.5,38.5,149/88,You are overheating. Rest and hydrate.
112.1,90.0,37.6,156/86,Low SpO2. Do deep breathing or go outside.
105.7,98.9,37.0,110/78,Elevated heart rate. Take a walk or rest.
99.4,96.8,37.8,121/78,Slight fever. Drink water and avoid stress.
77.3,99.1,38.6,124/81,Slight fever. Drink water and avoid stress.
119.9,88.3,36.9,140/88,🚨 Emergency! Call for help.
79.0,94.8,37.7,110/74,Slight fever. Drink water and avoid stress.
72.7,88.5,36.7,120/85,🚨 Emergency! Call for help.
88.3,94.6,35.6,110/85,All good. Stay healthy!
108.0,96.6,38.2,129/81,You are overheating. Rest and hydrate.
58.9,97.8,37.4,108/66,All good. Stay healthy!
57.4,93.5,38.1,92/63,Low SpO2. Do deep breathing or go outside.
87.3,99.6,37.0,120/72,All good. Stay healthy!
120.7,92.2,35.8,153/100,Low SpO2. Do deep breathing or go outside.
95.2,87.8,36.0,120/78,🚨 Emergency! Call for help.
77.9,92.2,36.6,125/73,Low SpO2. Do deep breathing or go outside.
105.1,93.5,38.5,110/78,You are overheating. Rest and hydrate.
110.7,98.1,36.1,140/98,Elevated heart rate. Take a walk or rest.
118.3,87.4,38.7,156/97,🚨 Emergency! Call for help.
129.4,87.4,37.9,160/88,🚨 Emergency! Call for help.
121.9,93.0,38.3,142/98,You are overheating. Rest and hydrate.
58.3,96.3,35.6,94/66,All good. Stay healthy!
63.4,87.0,38.6,128/78,🚨 Emergency! Call for help.
109.7,97.3,37.6,118/76,Elevated heart rate. Take a walk or rest.
72.6,94.0,37.9,110/84,Slight fever. Drink water and avoid stress.
98.6,99.7,37.3,121/71,All good. Stay healthy!
122.7,91.6,36.6,137/87,Low SpO2. Do deep breathing or go outside.
111.5,90.1,36.3,146/89,Low SpO2. Do deep breathing or go outside.
94.9,88.2,39.0,124/75,🚨 Emergency! Call for help.
92.3,94.6,37.3,120/81,All good. Stay healthy!
81.0,87.9,36.6,130/74,🚨 Emergency! Call for help.
111.8,91.9,38.5,160/98,🚨 Emergency! Call for help.
67.5,86.7,38.4,119/72,🚨 Emergency! Call for help.
115.1,87.9,36.0,146/97,🚨 Emergency! Call for help.
92.8,87.2,35.6,118/79,🚨 Emergency! Call for help.
81.5,91.0,37.6,129/73,Low SpO2. Do deep breathing or go outside.
121.0,85.5,38.5,148/99,🚨 Emergency! Call for help.
103.2,90.3,36.5,115/74,Low SpO2. Do deep breathing or go outside.
57.0,93.3,38.8,103/66,Low SpO2. Do deep breathing or go outside.
92.6,97.6,38.8,115/74,Slight fever. Drink water and avoid stress.
93.4,91.9,36.1,123/77,Low SpO2. Do deep breathing or go outside.
77.3,91.0,37.4,123/75,Low SpO2. Do deep breathing or go outside.
104.8,97.7,38.9,125/85,You are overheating. Rest and hydrate.
92.0,85.2,37.2,121/78,🚨 Emergency! Call for help.
57.6,91.5,37.3,102/67,Low SpO2. Do deep breathing or go outside.
124.1,87.6,36.3,152/91,🚨 Emergency! Call for help.
91.9,90.9,35.6,130/77,Low SpO2. Do deep breathing or go outside.
88.1,85.5,37.3,125/75,🚨 Emergency! Call for help.
62.3,92.2,37.1,120/85,Low SpO2. Do deep breathing or go outside.
101.9,90.5,37.6,125/84,Low SpO2. Do deep breathing or go outside.
116.8,85.8,35.6,155/96,🚨 Emergency! Call for help.
65.0,96.9,36.9,125/83,All good. Stay healthy!
129.4,95.8,37.1,149/100,Elevated heart rate. Take a walk or rest.
128.1,98.9,38.9,137/99,You are overheating. Rest and hydrate.
130.0,89.2,38.6,148/100,🚨 Emergency! Call for help.
126.6,87.4,37.3,158/100,🚨 Emergency! Call for help.
125.0,89.9,37.3,147/90,🚨 Emergency! Call for help.
91.5,99.4,36.5,121/81,All good. Stay healthy!
80.8,85.7,37.5,111/85,🚨 Emergency! Call for help.
80.9,93.4,35.8,126/80,Low SpO2. Do deep breathing or go outside.
107.2,97.4,38.7,117/75,You are overheating. Rest and hydrate.
97.5,85.6,37.1,130/80,🚨 Emergency! Call for help.
126.3,99.5,38.9,146/97,You are overheating. Rest and hydrate.
86.2,92.0,35.9,129/77,Low SpO2. Do deep breathing or go outside.
103.5,98.3,38.0,110/82,You are overheating. Rest and hydrate.
83.2,94.2,37.0,117/71,All good. Stay healthy!
106.2,90.6,37.4,118/74,Low SpO2. Do deep breathing or go outside.
56.4,93.8,36.5,105/63,Low SpO2. Do deep breathing or go outside.
59.0,98.6,38.2,90/62,Slight fever. Drink water and avoid stress.
124.6,96.6,37.4,149/100,Elevated heart rate. Take a walk or rest.
57.1,88.1,36.2,96/64,🚨 Emergency! Call for help.
96.0,91.8,37.8,115/73,Low SpO2. Do deep breathing or go outside.
58.2,99.9,38.9,93/70,Slight fever. Drink water and avoid stress.
123.2,91.2,36.0,145/87,Low SpO2. Do deep breathing or go outside.
126.0,97.8,37.5,138/91,Elevated heart rate. Take a walk or rest.
124.2,89.8,38.6,146/86,🚨 Emergency! Call for help.
76.1,92.0,39.0,114/71,Low SpO2. Do deep breathing or go outside.
127.0,86.5,37.2,148/89,🚨 Emergency! Call for help.
63.3,90.5,37.5,124/75,Low SpO2. Do deep breathing or go outside.
108.9,94.0,36.7,123/85,Elevated heart rate. Take a walk or rest.
68.7,97.2,38.6,114/72,Slight fever. Drink water and avoid stress.
110.6,86.8,36.2,153/95,🚨 Emergency! Call for help.
114.6,87.7,37.3,146/90,🚨 Emergency! Call for help.
80.0,85.6,37.0,121/80,🚨 Emergency! Call for help.
95.7,90.8,37.9,122/73,Low SpO2. Do deep breathing or go outside.
76.3,93.3,38.9,110/85,Low SpO2. Do deep breathing or go outside.
70.0,95.8,36.7,123/81,All good. Stay healthy!
98.3,94.8,36.4,129/81,All good. Stay healthy!
63.0,99.8,35.8,119/80,All good. Stay healthy!
106.1,98.0,36.6,123/74,Elevated heart rate. Take a walk or rest.
108.2,97.6,38.1,123/85,You are overheating. Rest and hydrate.
67.0,99.9,38.8,123/81,Slight fever. Drink water and avoid stress.
78.4,98.4,36.5,130/76,All good. Stay healthy!
106.5,96.7,36.1,122/79,Elevated heart rate. Take a walk or rest.
93.6,95.0,38.6,123/81,Slight fever. Drink water and avoid stress.
90.8,91.4,35.8,122/85,Low SpO2. Do deep breathing or go outside.
86.0,88.3,37.5,119/85,🚨 Emergency! Call for help.
65.8,97.7,38.7,119/74,Slight fever. Drink water and avoid stress.
113.0,95.6,37.8,142/92,Elevated heart rate. Take a walk or rest.
57.6,88.4,36.7,102/67,🚨 Emergency! Call for help.
65.9,96.1,36.6,117/79,All good. Stay healthy!
72.4,96.0,36.5,118/84,All good. Stay healthy!
95.8,96.2,38.9,126/76,Slight fever. Drink water and avoid stress.
70.2,98.9,37.1,115/84,All good. Stay healthy!
63.8,99.8,37.6,124/81,Slight fever. Drink water and avoid stress.
107.2,94.2,37.6,123/77,Elevated heart rate. Take a walk or rest.
87.1,99.6,37.9,112/73,Slight fever. Drink water and avoid stress.
98.1,86.7,36.1,117/75,🚨 Emergency! Call for help.
90.6,86.2,36.0,126/73,🚨 Emergency! Call for help.
88.6,94.5,38.1,124/74,Slight fever. Drink water and avoid stress.
80.8,94.7,38.5,110/83,Slight fever. Drink water and avoid stress.
56.3,91.4,37.9,108/63,Low SpO2. Do deep breathing or go outside.
73.2,96.2,38.9,128/85,Slight fever. Drink water and avoid stress.
55.3,99.0,38.6,97/69,Slight fever. Drink water and avoid stress.
101.7,95.2,37.4,124/70,Elevated heart rate. Take a walk or rest.
126.3,88.2,37.2,160/91,🚨 Emergency! Call for help.
72.8,93.7,36.4,117/82,Low SpO2. Do deep breathing or go outside.
128.0,91.5,38.1,154/89,You are overheating. Rest and hydrate.
126.4,85.5,38.9,151/95,🚨 Emergency! Call for help.
59.5,96.8,36.2,101/64,All good. Stay healthy!
116.7,87.1,35.9,143/100,🚨 Emergency! Call for help.
58.3,100.0,38.3,97/66,Slight fever. Drink water and avoid stress.
72.4,87.2,36.3,129/79,🚨 Emergency! Call for help.
126.5,90.5,39.0,160/90,🚨 Emergency! Call for help.
122.6,95.7,37.5,154/97,Elevated heart rate. Take a walk or rest.
56.6,88.2,37.1,107/61,🚨 Emergency! Call for help.
96.7,98.9,36.0,113/83,All good. Stay healthy!
87.1,86.6,36.4,129/84,🚨 Emergency! Call for help.
61.8,92.5,37.3,128/82,Low SpO2. Do deep breathing or go outside.
75.7,91.5,37.2,118/74,Low SpO2. Do deep breathing or go outside.
96.5,87.7,38.5,130/77,🚨 Emergency! Call for help.
65.0,90.9,36.2,116/79,Low SpO2. Do deep breathing or go outside.
101.7,97.9,35.7,115/78,Elevated heart rate. Take a walk or rest.
102.4,98.2,37.7,113/81,Elevated heart rate. Take a walk or rest.
109.7,93.6,37.6,127/78,Low SpO2. Do deep breathing or go outside.
102.2,88.8,37.5,123/72,🚨 Emergency! Call for help.
74.6,85.7,37.1,124/77,🚨 Emergency! Call for help.
104.5,99.7,37.8,113/78,Elevated heart rate. Take a walk or rest.
110.9,93.9,38.1,136/92,You are overheating. Rest and hydrate.
116.7,85.1,36.4,158/99,🚨 Emergency! Call for help.
94.6,85.1,38.6,126/82,🚨 Emergency! Call for help.
55.7,93.9,39.0,105/69,Low SpO2. Do deep breathing or go outside.
100.5,91.1,38.6,130/81,You are overheating. Rest and hydrate.
70.6,98.6,37.8,120/82,Slight fever. Drink water and avoid stress.
121.5,96.5,36.2,150/90,Elevated heart rate. Take a walk or rest.
117.1,95.6,36.0,155/86,Elevated heart rate. Take a walk or rest.
91.1,90.0,37.1,122/73,Low SpO2. Do deep breathing or go outside.
102.3,95.2,37.7,117/81,Elevated heart rate. Take a walk or rest.
89.8,89.6,37.6,127/85,🚨 Emergency! Call for help.
78.9,94.4,37.1,113/78,All good. Stay healthy!
128.7,99.6,39.0,151/95,You are overheating. Rest and hydrate.
107.4,87.1,36.9,120/78,🚨 Emergency! Call for help.
73.0,96.4,37.1,117/81,All good. Stay healthy!
64.1,92.4,37.0,122/83,Low SpO2. Do deep breathing or go outside.
105.2,86.0,38.5,129/78,🚨 Emergency! Call for help.
103.1,91.2,37.5,122/81,Low SpO2. Do deep breathing or go outside.
66.6,90.2,38.2,121/71,Low SpO2. Do deep breathing or go outside.
108.3,92.2,37.9,127/77,Low SpO2. Do deep breathing or go outside.
105.3,87.9,38.3,119/82,🚨 Emergency! Call for help.
105.4,92.2,37.2,125/74,Low SpO2. Do deep breathing or go outside.
89.2,92.6,36.3,117/72,Low SpO2. Do deep breathing or go outside.
111.3,94.7,37.8,145/89,Elevated heart rate. Take a walk or rest.
127.7,93.7,36.2,135/100,Low SpO2. Do deep breathing or go outside.
111.4,99.5,38.6,153/91,You are overheating. Rest and hydrate.
69.4,98.4,36.1,119/82,All good. Stay healthy!
81.2,97.0,38.8,129/72,Slight fever. Drink water and avoid stress.
66.5,98.5,38.3,117/71,Slight fever. Drink water and avoid stress.
71.0,85.8,36.1,127/77,🚨 Emergency! Call for help.
83.1,98.0,38.6,121/78,Slight fever. Drink water and avoid stress.
123.3,91.5,37.2,142/91,Low SpO2. Do deep breathing or go outside.
109.9,95.7,36.9,122/75,Elevated heart rate. Take a walk or rest.
118.7,96.1,36.3,142/99,Elevated heart rate. Take a walk or rest.
111.8,98.5,38.2,152/94,You are overheating. Rest and hydrate.
93.4,94.8,37.9,110/72,Slight fever. Drink water and avoid stress.
91.3,87.9,37.9,125/82,🚨 Emergency! Call for help.
106.0,86.9,36.3,122/81,🚨 Emergency! Call for help.
105.2,86.2,38.0,114/85,🚨 Emergency! Call for help.
100.6,92.9,37.3,122/76,Low SpO2. Do deep breathing or go outside.
108.1,88.6,35.7,110/73,🚨 Emergency! Call for help.
118.9,90.5,36.5,135/94,Low SpO2. Do deep breathing or go outside.
114.7,87.4,35.8,152/97,🚨 Emergency! Call for help.
79.3,96.6,38.3,113/77,Slight fever. Drink water and avoid stress.
124.0,97.3,38.5,136/91,You are overheating. Rest and hydrate.
105.3,93.0,36.3,125/74,Low SpO2. Do deep breathing or go outside.
121.0,98.7,37.5,151/90,Elevated heart rate. Take a walk or rest.
109.1,89.1,36.4,114/82,🚨 Emergency! Call for help.
101.6,86.4,37.3,122/82,🚨 Emergency! Call for help.
67.1,95.2,35.7,130/80,All good. Stay healthy!
59.2,95.9,35.9,93/62,All good. Stay healthy!
60.1,90.7,36.3,117/85,Low SpO2. Do deep breathing or go outside.
90.9,88.6,38.1,127/78,🚨 Emergency! Call for help.
115.5,96.0,36.2,142/94,Elevated heart rate. Take a walk or rest.
99.2,96.9,37.6,112/72,Slight fever. Drink water and avoid stress.
120.6,86.9,36.8,141/98,🚨 Emergency! Call for help.
69.0,98.2,35.9,118/70,All good. Stay healthy!
110.7,91.8,38.5,141/86,You are overheating. Rest and hydrate.
96.9,95.4,38.0,123/74,Slight fever. Drink water and avoid stress.
90.6,88.1,37.5,114/82,🚨 Emergency! Call for help.
93.3,95.8,36.3,121/75,All good. Stay healthy!
88.2,85.7,36.4,113/76,🚨 Emergency! Call for help.
95.0,93.6,38.6,115/79,Low SpO2. Do deep breathing or go outside.
75.3,90.3,37.2,126/75,Low SpO2. Do deep breathing or go outside.
105.1,96.3,36.6,119/78,Elevated heart rate. Take a walk or rest.
70.1,94.6,37.6,117/71,Slight fever. Drink water and avoid stress.
110.0,85.2,36.9,123/76,🚨 Emergency! Call for help.
104.8,96.9,38.4,113/78,You are overheating. Rest and hydrate.
81.0,92.4,38.6,123/83,Low SpO2. Do deep breathing or go outside.
100.7,90.9,37.9,129/81,Low SpO2. Do deep breathing or go outside.
88.2,92.4,36.6,121/80,Low SpO2. Do deep breathing or go outside.
116.7,85.0,38.4,154/90,🚨 Emergency! Call for help.
88.6,85.0,35.6,124/80,🚨 Emergency! Call for help.
85.1,99.0,38.2,124/78,Slight fever. Drink water and avoid stress.
113.7,96.6,35.6,140/98,Elevated heart rate. Take a walk or rest.
69.0,87.4,38.9,114/81,🚨 Emergency! Call for help.
97.8,86.3,36.8,122/78,🚨 Emergency! Call for help.
89.6,95.5,37.7,125/83,Slight fever. Drink water and avoid stress.
97.6,99.6,36.9,121/80,All good. Stay healthy!
93.6,89.3,38.5,124/71,🚨 Emergency! Call for help.
116.8,92.4,36.4,137/97,Low SpO2. Do deep breathing or go outside.
117.9,86.8,37.8,151/86,🚨 Emergency! Call for help.
86.8,91.5,38.0,127/70,Low SpO2. Do deep breathing or go outside.
74.7,95.6,35.8,118/78,All good. Stay healthy!
115.6,86.5,37.8,153/86,🚨 Emergency! Call for help.
65.3,85.9,37.1,129/71,🚨 Emergency! Call for help.
58.0,97.3,37.5,106/69,Slight fever. Drink water and avoid stress.
78.2,98.8,38.1,116/80,Slight fever. Drink water and avoid stress.
64.2,94.3,36.6,120/82,All good. Stay healthy!
56.1,95.6,35.6,96/60,All good. Stay healthy!
118.3,90.9,36.5,139/95,Low SpO2. Do deep breathing or go outside.
118.8,85.9,37.3,160/93,🚨 Emergency! Call for help.
76.9,89.4,37.0,120/76,🚨 Emergency! Call for help.
92.2,95.8,35.7,130/79,All good. Stay healthy!
59.3,91.5,37.6,105/65,Low SpO2. Do deep breathing or go outside.
93.3,89.5,35.8,112/83,🚨 Emergency! Call for help.
62.5,87.8,35.8,117/81,🚨 Emergency! Call for help.
75.1,91.4,37.4,125/79,Low SpO2. Do deep breathing or go outside.
105.7,95.2,38.1,127/78,You are overheating. Rest and hydrate.
78.4,86.9,38.4,117/77,🚨 Emergency! Call for help.
128.7,97.5,35.6,150/86,Elevated heart rate. Take a walk or rest.
79.2,89.8,37.2,111/82,🚨 Emergency! Call for help.
59.8,90.5,38.9,100/69,Low SpO2. Do deep breathing or go outside.
110.3,86.9,35.8,159/94,🚨 Emergency! Call for help.
83.5,88.0,36.0,125/85,🚨 Emergency! Call for help.
82.6,99.0,38.7,122/72,Slight fever. Drink water and avoid stress.
79.1,95.6,38.0,112/76,Slight fever. Drink water and avoid stress.
128.5,99.0,38.4,156/96,You are overheating. Rest and hydrate.
60.7,93.4,36.3,119/79,Low SpO2. Do deep breathing or go outside.
61.5,96.3,38.5,113/70,Slight fever. Drink water and avoid stress.
104.1,85.2,35.5,128/79,🚨 Emergency! Call for help.
108.9,88.7,36.7,124/77,🚨 Emergency! Call for help.
109.8,87.7,36.2,117/78,🚨 Emergency! Call for help.
117.9,85.6,36.1,138/99,🚨 Emergency! Call for help.
84.3,98.3,35.8,130/84,All good. Stay healthy!
103.4,86.5,35.6,127/70,🚨 Emergency! Call for help.
84.7,91.1,38.9,119/81,Low SpO2. Do deep breathing or go outside.
76.9,95.1,38.6,128/83,Slight fever. Drink water and avoid stress.
56.7,92.2,36.1,95/66,Low SpO2. Do deep breathing or go outside.
114.5,93.7,37.5,136/92,Low SpO2. Do deep breathing or go outside.
75.6,98.9,36.4,123/83,All good. Stay healthy!
84.7,88.7,37.9,119/81,🚨 Emergency! Call for help.
127.3,91.3,36.2,146/100,Low SpO2. Do deep breathing or go outside.
87.3,98.4,36.3,113/78,All good. Stay healthy!
124.2,92.7,36.0,135/91,Low SpO2. Do deep breathing or go outside.
63.5,86.8,36.9,116/72,🚨 Emergency! Call for help.
127.3,86.8,35.6,146/91,🚨 Emergency! Call for help.
62.8,97.5,36.1,127/71,All good. Stay healthy!
126.5,86.4,37.8,149/100,🚨 Emergency! Call for help.
119.0,90.5,37.6,143/85,Low SpO2. Do deep breathing or go outside.
103.7,88.1,37.4,113/82,🚨 Emergency! Call for help.
127.6,87.4,37.0,144/97,🚨 Emergency! Call for help.
116.1,93.8,38.8,148/93,You are overheating. Rest and hydrate.
59.3,98.9,36.1,106/67,All good. Stay healthy!
99.3,98.6,37.9,124/75,Slight fever. Drink water and avoid stress.
103.7,85.1,37.8,117/85,🚨 Emergency! Call for help.
118.4,94.6,37.9,160/85,🚨 Emergency! Call for help.
116.4,91.6,36.4,137/87,Low SpO2. Do deep breathing or go outside.
122.8,87.2,36.2,135/86,🚨 Emergency! Call for help.
81.0,93.1,36.3,118/80,Low SpO2. Do deep breathing or go outside.
55.8,98.5,38.0,94/61,Slight fever. Drink water and avoid stress.
108.6,90.5,37.5,119/83,Low SpO2. Do deep breathing or go outside.
120.1,86.7,36.2,138/96,🚨 Emergency! Call for help.
115.3,98.1,38.1,142/100,You are overheating. Rest and hydrate.
81.3,88.6,36.7,122/76,🚨 Emergency! Call for help.
104.9,99.8,36.1,130/79,Elevated heart rate. Take a walk or rest.
77.3,85.4,35.5,126/75,🚨 Emergency! Call for help.
89.2,97.4,38.2,117/85,Slight fever. Drink water and avoid stress.
106.2,96.3,37.3,122/81,Elevated heart rate. Take a walk or rest.
87.1,89.3,35.7,130/74,🚨 Emergency! Call for help.
67.0,99.1,36.7,126/81,All good. Stay healthy!
97.9,93.8,35.9,117/79,Low SpO2. Do deep breathing or go outside.
128.3,92.2,37.1,157/91,Low SpO2. Do deep breathing or go outside.
83.2,92.2,35.8,115/77,Low SpO2. Do deep breathing or go outside.
111.3,93.6,38.1,153/92,You are overheating. Rest and hydrate.
68.9,98.7,38.3,121/70,Slight fever. Drink water and avoid stress.
74.6,96.7,38.1,123/70,Slight fever. Drink water and avoid stress.
82.3,92.2,38.7,119/80,Low SpO2. Do deep breathing or go outside.
85.3,86.5,36.7,111/75,🚨 Emergency! Call for help.
84.7,95.4,38.4,110/76,Slight fever. Drink water and avoid stress.
60.6,96.4,38.3,128/74,Slight fever. Drink water and avoid stress.
82.4,88.9,38.1,118/75,🚨 Emergency! Call for help.
80.1,94.7,38.2,113/72,Slight fever. Drink water and avoid stress.
64.9,95.0,37.9,123/73,Slight fever. Drink water and avoid stress.
90.2,89.9,36.3,127/77,🚨 Emergency! Call for help.
86.8,91.6,36.0,120/77,Low SpO2. Do deep breathing or go outside.
77.9,93.8,35.9,114/71,Low SpO2. Do deep breathing or go outside.
111.4,99.1,35.7,149/85,Elevated heart rate. Take a walk or rest.
95.7,94.1,35.7,126/77,All good. Stay healthy!
94.6,85.8,37.1,130/78,🚨 Emergency! Call for help.
95.2,95.9,38.0,122/79,Slight fever. Drink water and avoid stress.
104.9,85.2,37.8,126/85,🚨 Emergency! Call for help.
57.4,85.7,38.2,110/61,🚨 Emergency! Call for help.
56.4,89.9,38.1,103/65,🚨 Emergency! Call for help.
60.1,88.5,38.7,123/74,🚨 Emergency! Call for help.
111.6,92.9,38.7,142/98,You are overheating. Rest and hydrate.
100.0,93.7,38.0,119/71,Low SpO2. Do deep breathing or go outside.
102.9,87.9,35.8,113/70,🚨 Emergency! Call for help.
106.4,90.0,36.5,127/79,Low SpO2. Do deep breathing or go outside.
115.5,89.0,38.8,147/98,🚨 Emergency! Call for help.
103.1,91.5,38.3,117/70,You are overheating. Rest and hydrate.
117.1,99.0,38.9,135/99,You are overheating. Rest and hydrate.
113.6,98.5,36.0,141/94,Elevated heart rate. Take a walk or rest.
75.9,88.2,37.0,128/71,🚨 Emergency! Call for help.
114.4,91.1,36.9,142/93,Low SpO2. Do deep breathing or go outside.
103.0,91.6,37.1,111/78,Low SpO2. Do deep breathing or go outside.
74.8,85.9,36.7,127/81,🚨 Emergency! Call for help.
63.9,94.9,36.1,116/81,All good. Stay healthy!
97.2,94.3,38.0,119/72,Slight fever. Drink water and avoid stress.
